title,industry,text,tokenized
Techday sẽ trình làng hệ sinh thái công nghệ made by FPT ‘hot’ nhất 2023,1,Techday sẽ trình làng hệ sinh thái công nghệ made by FPT ‘hot’ nhất 2023,"[    0 10845 13233    38  1893   632  2301   418  4311   675  5116 17435
  5702  4062     3 45300  4598    67 18280     2     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
"Một công ty ""họ"" Viettel thu hơn 36 tỷ mỗi ngày",0,"Một công ty ""họ"" Viettel thu hơn 36 tỷ mỗi ngày","[    0   242   675  6892 30939 26427    22  3316   369    48  2310   186
   205    43     2     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Giá xăng dầu đang ở mức rẻ nhất năm,3,Giá xăng dầu đang ở mức rẻ nhất năm,"[   0 1584 1873  933   52   25  185 1455   67   29    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1]"
Điện Gia Lai bất ngờ thành cổ đông lớn của 2 công ty mía đường NHS và BHS,3,Điện Gia Lai bất ngờ thành cổ đông lớn của 2 công ty mía đường NHS và BHS,"[    0  4694  8224  7500  5408  3217   302   862   553   103     7    76
   675  6892  4597   109 53025     6 13981  2053     2     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
"Ông Nguyễn Đức Tài: 1-2 tuần thuốc trị Covid-19 tràn ngập tất cả các nhà thuốc, chứ không phải chỉ có ở An Khang hay ở ‘đâu đó’",2,"Ông Nguyễn Đức Tài: 1-2 tuần thuốc trị Covid-19 tràn ngập tất cả các nhà thuốc, chứ không phải chỉ có ở An Khang hay ở ‘đâu đó’","[    0   168  3751   357 31191  1384    27  4142   386   529  3348  3179
 23126   770  1195  2896  1867  7328    94     9    69 60024  1395     4
   597    17    41    66    10    25  2234  5195   118    25     3   602
 27772  4598     2     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
"FPT đề xuất thúc đẩy chuyển đổi số và giáo dục, đào tạo tại Cần Thơ",1,"FPT đề xuất thúc đẩy chuyển đổi số và giáo dục, đào tạo tại Cần Thơ","[    0  4062  1294  2528 15022  1172   430  1361   100     6  4368 30225
  1395     4  1717   199    35  2548  5935     2     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Metro miễn phí vé cho người dân TP.HCM chơi lễ 'thả ga',4,Metro miễn phí vé cho người dân TP.HCM chơi lễ 'thả ga',"[    0 11085  3634   848   826    13    18   452 54449   383   379   586
 51899  2177 10931   104     2     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Đốc thúc triển khai nhanh dự án điện,3,Đốc thúc triển khai nhanh dự án điện,"[    0 29637 15022 12155  1284   485   930   565   462     2     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Dược phẩm Imexpharm tổ chức họp mặt cổ đông tại ĐHĐCĐ thường niên 2024,2,Dược phẩm Imexpharm tổ chức họp mặt cổ đông tại ĐHĐCĐ thường niên 2024,"[    0  8295  3884  1622  4760  1600 21628   599  1391  1766   673   373
   862   553    35 27052   311  9642 27035     2     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
"Cơ chế thuế đơn giản, hộ kinh doanh sẽ lên doanh nghiệp",0,"Cơ chế thuế đơn giản, hộ kinh doanh sẽ lên doanh nghiệp","[    0  8917  3056   578   807 17554  1301     4   506  3078 15082    38
    72 15082  4422     2     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
