title,sentiment,text,tokenized
Khó dò đường cho thị trường vàng thế giới năm 2025,2,Khó dò đường cho thị trường vàng thế giới năm 2025,"[    0  8168 11022   109    13  5298   212   354   570   681    29  6669
     2     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Jollibee và Highlands Coffee mang về bao nhiêu tiền cho tập đoàn mẹ ở Philippines?,0,Jollibee và Highlands Coffee mang về bao nhiêu tiền cho tập đoàn mẹ ở Philippines?,"[    0 41726  2455 40268     6 12654 27046 30948   156    28  1464 26567
   123    13   834   639   269    25 26662 46157   114     2     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Thu hồi Giấy phép thương nhân xăng dầu của Petrolink,2,Thu hồi Giấy phép thương nhân xăng dầu của Petrolink,"[    0  2886   857  4390   996  2057  1362  1873   933     7 15427  3905
 23304     2     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Trợ lý sức khỏe điện tử cho mọi gia đình đạt giải Vàng iKhiến,0,Trợ lý sức khỏe điện tử cho mọi gia đình đạt giải Vàng iKhiến,"[    0 54115  3902   760  3014 15947  1565   462  5130    13   207  3931
  4181   208   248  3469  1384 40076     2     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Nam Việt sắp trả cổ tức năm 2023 với tỷ lệ 5%,1,Nam Việt sắp trả cổ tức năm 2023 với tỷ lệ 5%,"[    0   590   350   984   505   862  2487    29 18280    15   186  7235
  3331     2     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Người dân chỉ được mua bán vàng miếng ở những đơn vị được cấp phép,2,Người dân chỉ được mua bán vàng miếng ở những đơn vị được cấp phép,"[   0  345  452   66   11  188  170  354 2117   25   21  807  626   11
  181  996    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1]"
"Điện gió, điện mặt trời đối diện nhiều thách thức",1,"Điện gió, điện mặt trời đối diện nhiều thách thức","[    0  4694 26351     4   462   373  1027  3959  1283    36 15885  2908
     2     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Doanh nghiệp xăng dầu lo tốn kém khi triển khai hóa đơn điện tử,2,Doanh nghiệp xăng dầu lo tốn kém khi triển khai hóa đơn điện tử,"[    0 10970  4422  1873   933  1197  2944  1029    26 12155  1284  1340
 11095  1517   807   462  5130     2     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
Vietnam Airlines chi hơn 92.000 tỉ đồng mua 50 máy bay thân hẹp,0,Vietnam Airlines chi hơn 92.000 tỉ đồng mua 50 máy bay thân hẹp,"[   0 1678 7252  811   48 1551 2581  892   80  188  821  558  620 1182
 4838    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1]"
Thế giới di động gánh thêm khoản lỗ hơn 1.100 tỷ đồng từ hai chuỗi Bách Hoá Xanh và An Khang trong 9 tháng đầu năm 2023,1,Thế giới di động gánh thêm khoản lỗ hơn 1.100 tỷ đồng từ hai chuỗi Bách Hoá Xanh và An Khang trong 9 tháng đầu năm 2023,"[    0  1000   681  4453  2697  2998   143   666  2536    48 12221   186
    80    39    82  1973 11745  5486  5589     6  2234  5195    12   426
    78   127    29 18280     2     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1]"
